:),http://xkeeper.net/img/smb2smileyc.png
;),http://xkeeper.net/img/smb2smileyc.png
:D,http://xkeeper.net/img/smb2smileyc.png
:LOL:,http://xkeeper.net/img/smb2smileyc.png
8-),http://xkeeper.net/img/smb2smileyc.png
:(,http://xkeeper.net/img/smb2smileyc.png
:mad:,http://xkeeper.net/img/smb2smileyc.png
>_<,http://xkeeper.net/img/smb2smileyc.png
:P,http://xkeeper.net/img/smb2smileyc.png
:S,http://xkeeper.net/img/smb2smileyc.png
O_O,http://xkeeper.net/img/smb2smileyc.png
o_O,http://xkeeper.net/img/smb2smileyc.png
O_o,http://xkeeper.net/img/smb2smileyc.png
^_^,http://xkeeper.net/img/smb2smileyc.png
^^;;;,http://xkeeper.net/img/smb2smileyc.png
~:o,http://xkeeper.net/img/smb2smileyc.png
x_x,http://xkeeper.net/img/smb2smileyc.png
:eyeshift:,http://xkeeper.net/img/smb2smileyc.png
:vamp:,http://xkeeper.net/img/smb2smileyc.png
o_o,http://xkeeper.net/img/smb2smileyc.png
;_;,http://xkeeper.net/img/smb2smileyc.png
@_@,http://xkeeper.net/img/smb2smileyc.png
-_-,http://xkeeper.net/img/smb2smileyc.png
>_>,http://xkeeper.net/img/smb2smileyc.png
<_<,http://xkeeper.net/img/smb2smileyc.png
:rofl:,http://xkeeper.net/img/smb2smileyc.png
:terror:,http://xkeeper.net/img/smb2smileyc.png
:approve:,http://xkeeper.net/img/smb2smileyc.png
:deny:,http://xkeeper.net/img/smb2smileyc.png
:eyeshift2:,http://xkeeper.net/img/smb2smileyc.png
:glare:,http://xkeeper.net/img/smb2smileyc.png
:meow:,http://xkeeper.net/img/smb2smileyc.png
:words:,http://xkeeper.net/img/smb2smileyc.png
(-:,http://xkeeper.net/img/smb2smileyc.png
:ohdear:,http://xkeeper.net/img/smb2smileyc.png
:raddlaugh:,http://xkeeper.net/img/smb2smileyc.png
:raddmad:,http://xkeeper.net/img/smb2smileyc.png
:raddstand:,http://xkeeper.net/img/smb2smileyc.png
:raddsigh:,http://xkeeper.net/img/smb2smileyc.png
:raddwow:,http://xkeeper.net/img/smb2smileyc.png
:raddrock:,http://xkeeper.net/img/smb2smileyc.png
:raddwink:,http://xkeeper.net/img/smb2smileyc.png
:jawdrop:,http://xkeeper.net/img/smb2smileyc.png
:boatanchor:,http://xkeeper.net/img/smb2smileyc.png
:eng101:,http://xkeeper.net/img/smb2smileyc.png
:specialed:,http://xkeeper.net/img/smb2smileyc.png
:eww:,http://xkeeper.net/img/smb2smileyc.png
:1up:,http://xkeeper.net/img/smb2smileyc.png
:gonk:,http://xkeeper.net/img/smb2smileyc.png
:superd:,http://xkeeper.net/img/smb2smileyc.png
:flunked:,http://xkeeper.net/img/smb2smileyc.png
:smugdra:,http://xkeeper.net/img/smb2smileyc.png
:nsfw:,http://xkeeper.net/img/smb2smileyc.png
:toot:,http://xkeeper.net/img/smb2smileyc.png
:awesome:,http://xkeeper.net/img/smb2smileyc.png
:argh:,http://xkeeper.net/img/smb2smileyc.png
:turnip:,images/smilies/turnip.gif
:durnip:,images/smilies/durnip2.gif
