:),images/smilies2/smile.gif
;),images/smilies2/wink.gif
:D,images/smilies2/biggrin.gif
:LOL:,images/smilies2/lol.gif
8-),images/smilies2/glasses.gif
:(,images/smilies2/frown.gif
>:,images/smilies2/mad.gif
>_<,images/smilies2/yuck.gif
:P,images/smilies2/tongue.gif
:S,images/smilies2/wobbly.gif
O_O,images/smilies2/eek.gif
o_O,images/smilies2/bigeyes.gif
O_o,images/smilies2/bigeyes2.gif
^_^,images/smilies2/cute.gif
^^;;;,images/smilies2/cute2.gif
~:o,images/smilies2/baby.gif
x_x,images/smilies2/sick.gif
:eyeshift:,images/smilies2/eyeshift.gif
:vamp:,images/smilies2/vamp.gif
o_o,images/smilies2/blank.gif
;_;,images/smilies2/cry.gif
@_@,images/smilies2/dizzy.gif
-_-,images/smilies2/annoyed.gif
>_>,images/smilies2/shiftright.gif
<_<,images/smilies2/shiftleft.gif
:rofl:,images/smilies2/rofl.gif
:terror:,images/smilies2/terror.gif
:approve:,images/smilies2/approved.gif
:deny:,images/smilies2/denied.gif
:eyeshift2:,images/smilies2/eyeshift2.gif
:meow:,images/smilies2/meow.gif
:XD:,images/smilies2/haw.gif
:gutbust:,images/smilies2/haw2.gif
:grin:,images/smilies2/grin.gif
:duh:,images/smilies2/duh.gif
:roll:,images/smilies2/rolleyes.gif
:evil:,images/smilies2/evil.gif
:good:,images/smilies2/halo.gif
:kawaii:,images/smilies2/anime.gif
;D,images/smilies2/anime2.gif
:flush:,images/smilies2/flush.gif
:krunk:,images/smilies2/krunk.gif
